reaction,Co,Ni,Cu,Rh,Pd,Ag,Ir,Pt,Au
Ea1: CO* + H2O* -> CO* + OH* + H*,0.45,0.79,1.13,1.00,1.24,1.62,0.80,1.02,2.03
Ea2: CO* + OH* + H* -> CO* + O* + 2H*,0.98,1.09,1.74,0.81,1.35,2.31,0.76,0.95,2.12
Ea3: CO* + O* + 2H* -> CO2(g) + 2H*,1.45,1.44,0.62,1.34,0.84,0.90,1.11,0.74,0.03
Ea4: CO* + OH* + H* -> COOH* + H*,1.56,1.45,0.88,1.06,0.97,0.43,0.79,0.59,0.30
Ea5: COOH* + H* -> CO2(g) + 2H*,0.55,0.60,0.60,0.68,0.55,0.61,0.59,0.66,0.58
Ea6: CO* + O* + 2H* -> CHO* + O* + H*,1.40,1.45,0.88,1.43,1.40,0.39,1.12,0.93,0.37
Ea7: CHO* + O* + H* -> HCOO* + H*,0.97,0.94,0.19,0.74,0.66,0.12,0.91,0.34,0.18
Ea8: HCOO* + H* -> CO2(g) + 2H*,1.31,1.36,1.26,1.35,1.22,1.25,1.38,1.26,1.24
Ea9: CHO* + OH* -> HCOOH*,0.97,0.82,0.49,0.69,0.60,0.18,0.52,0.59,0.27
Ea10: HCOOH* -> HCOO* + H*,0.22,0.80,0.34,0.38,0.88,0.96,0.37,0.75,1.14
Ea11: HCOOH* -> COOH* + H*,1.07,1.43,1.82,1.41,1.63,2.39,1.27,1.47,2.41
Ea12: COOH* + H* -> CO2(g) + 2H*,0.15,0.17,0.21,0.20,0.26,0.24,0.18,0.15,0.23
Ea13: CO2(g) + 2H* -> CO2(g) + H2(g),1.15,1.18,0.43,1.14,1.15,0.37,0.93,0.99,0.38
