metal,HCOOH,HCOO,COOH,CO,OH,O,C,H,H2O
Au,-0.16,-1.78,-1.35,-0.26,-1.56,-2.47,-3.68,-2.04,-0.5
Ag,-0.18,-2.31,-1.19,-0.10,-2.28,-3.16,-3.15,-2.07,-0.5
Cu,-0.23,-2.76,-1.52,-0.72,-2.69,-4.14,-4.30,-2.38,-0.5
Pt,-0.37,-2.35,-2.40,-1.74,-2.11,-3.73,-6.57,-2.70,-0.5
Pd,-0.39,-2.34,-2.19,-1.95,-2.22,-3.73,-6.46,-2.83,-0.5
Ni,-0.32,-2.80,-2.25,-1.90,-2.98,-4.94,-6.38,-2.81,-0.5
Ir,-0.43,-2.94,-2.63,-1.83,-2.60,-4.69,-6.88,-2.73,-0.5
Rh,-0.49,-2.94,-2.58,-1.92,-2.72,-4.74,-7.05,-2.82,-0.5
Co,-0.33,-2.95,-2.25,-1.83,-3.13,-5.23,-6.59,-2.98,-0.5
Os,-0.69,-3.62,-3.05,-2.10,-3.05,-5.47,-7.37,-2.81,-0.5
Ru,-0.81,-3.50,-3.00,-1.98,-3.22,-5.29,-6.99,-2.90,-0.5
Re,-0.64,-3.55,-2.83,-1.92,-3.72,-6.69,-7.47,-3.04,-0.5
