reaction,Co,Ni,Cu,Rh,Pd,Ag,Ir,Pt,Au
ΔH1: CO* + H2O* -> CO* + OH* + H*,-0.77,-0.41,0.21,0.26,1.65,1.93,1.18,1.63,1.43
ΔH2: CO* + OH* + H* -> CO* + O* + 2H*,-0.07,0.03,0.75,-0.09,0.36,1.73,-0.18,0.14,1.49
ΔH3: CO* + O* + 2H* -> CO2(g) + 2H*,0.89,0.73,-0.90,0.57,-0.51,-2.69,0.19,-0.59,-2.93
ΔH4: CO* + OH* + H* -> COOH* + H*,1.35,1.22,0.44,0.84,0.37,-0.40,0.17,-0.25,-0.95
ΔH5: COOH* + H* -> CO2(g) + 2H*,-0.56,-0.52,-0.59,-0.56,-0.52,-0.56,-0.56,-0.59,-0.49
ΔH6: CO* + O* + 2H* -> CHO* + O* + H*,1.14,1.18,0.64,1.19,1.11,0.71,0.73,0.61,0.52
ΔH7: CHO* + O* + H* -> HCOO* + H*,-0.32,-0.39,-2.96,-0.66,-1.22,-3.20,-0.89,-1.52,-2.54
ΔH8: HCOO* + H* -> CO2(g) + 2H*,-0.06,-0.06,0.18,-0.10,-0.35,-0.26,-0.07,-0.44,-0.83
ΔH9: CHO* + OH* -> HCOOH*,0.29,0.14,-0.74,-0.07,-0.64,-1.59,-0.29,-0.51,-1.72
ΔH10: HCOOH* -> HCOO* + H*,-0.88,-0.80,-0.47,-0.79,-0.41,-0.20,-0.85,-0.42,-0.60
ΔH11: HCOOH* -> COOH* + H*,0.84,0.86,1.22,0.84,0.99,1.80,0.94,1.06,1.94
ΔH12: COOH* + H* -> CO2(g) + 2H*,-1.68,-1.75,-1.52,-1.73,-1.95,-1.35,-1.72,-1.94,-1.71
ΔH13: CO2(g) + 2H* -> CO2(g) + H2(g),1.19,1.18,0.66,1.16,1.15,0.31,0.98,1.03,0.45
