metal,mechanism,dE_O,dE_CO,log10_tof,tof
Co,redox,-5.23,-1.83,-12.005300893496665,9.878684297758929e-13
Co,carboxyl,-5.23,-1.83,-9.848955205542698,1.41593981677641e-10
Co,formate,-5.23,-1.83,-14.460717712120552,3.4616430870055213e-15
Ni,redox,-4.94,-1.9,-16.489793389946648,3.237476391038914e-17
Ni,carboxyl,-4.94,-1.9,-12.618788805994782,2.4055323071439865e-13
Ni,formate,-4.94,-1.9,-19.252969360264245,5.585095965333764e-20
Cu,redox,-4.14,-0.72,-6.1166182805173746,7.6450744574878e-07
Cu,carboxyl,-4.14,-0.72,-0.3990506446266666,0.3989783733597993
Cu,formate,-4.14,-0.72,1.6966947266923942,49.73873396739143
Rh,redox,-4.74,-1.92,-20.44669853421788,3.5752092540759575e-21
Rh,carboxyl,-4.74,-1.92,-15.168794343413948,6.77962475172485e-16
Rh,formate,-4.74,-1.92,-21.802974866938655,1.5740739550838053e-22
Pd,redox,-3.73,-1.95,-32.405345192460366,3.9323739235845666e-33
Pd,carboxyl,-3.73,-1.95,-26.819681712657562,1.5146709193691765e-27
Pd,formate,-3.73,-1.95,-31.43144427091749,3.7030171982171326e-32
Ag,redox,-3.16,-0.1,-29.672833109672066,2.1240605374340616e-30
Ag,carboxyl,-3.16,-0.1,-10.45775698674697,3.485322847524371e-11
Ag,formate,-3.16,-0.1,-11.200618046949806,6.300600641048132e-12
Ir,redox,-4.69,-1.83,-23.348428973350664,4.483023615682603e-24
Ir,carboxyl,-4.69,-1.83,-19.30156193854229,4.993879530365071e-20
Ir,formate,-4.69,-1.83,-21.71515396631587,1.926841687126619e-22
Pt,redox,-3.73,-1.74,-26.513953088771398,3.0622941959515086e-27
Pt,carboxyl,-3.73,-1.74,-20.928289608968253,1.1795338020490914e-21
Pt,formate,-3.73,-1.74,-20.266255312851207,5.416823527938642e-21
Au,redox,-2.47,-0.26,-15.364834060083822,4.316839877907328e-16
Au,carboxyl,-2.47,-0.26,-4.15128059646639,7.058613518315615e-05
Au,formate,-2.47,-0.26,-7.972300082672397,1.0658593942499975e-08
